id,diff,imagePath
0,0.089976,E:\Desktop from C\DataPrep\data to perp\images\14b15725-20230412_153642-2.mp4_snapshot_00.22.969.jpg
1,0.078167,E:\Desktop from C\DataPrep\data to perp\images\14b15725-20230412_153642-2.mp4_snapshot_00.22.969.jpg
2,0.013056,E:\Desktop from C\DataPrep\data to perp\images\14b15725-20230412_153642-2.mp4_snapshot_00.22.969.jpg
3,0.084303,E:\Desktop from C\DataPrep\data to perp\images\38ad2bdb-20230412_154501-1.mp4_snapshot_00.14.514.jpg
4,0.134135,E:\Desktop from C\DataPrep\data to perp\images\38ad2bdb-20230412_154501-1.mp4_snapshot_00.14.514.jpg
5,0.120377,E:\Desktop from C\DataPrep\data to perp\images\38ad2bdb-20230412_154501-1.mp4_snapshot_00.14.514.jpg
6,0.008311,E:\Desktop from C\DataPrep\data to perp\images\841f5570-20230412_153642-2.mp4_snapshot_00.04.297.jpg
7,0.014022,E:\Desktop from C\DataPrep\data to perp\images\841f5570-20230412_153642-2.mp4_snapshot_00.04.297.jpg
8,0.010226,E:\Desktop from C\DataPrep\data to perp\images\841f5570-20230412_153642-2.mp4_snapshot_00.04.297.jpg
9,0.001617,E:\Desktop from C\DataPrep\data to perp\images\841f5570-20230412_153642-2.mp4_snapshot_00.04.297.jpg
10,0.012653,E:\Desktop from C\DataPrep\data to perp\images\841f5570-20230412_153642-2.mp4_snapshot_00.04.297.jpg
11,0.011221,E:\Desktop from C\DataPrep\data to perp\images\841f5570-20230412_153642-2.mp4_snapshot_00.04.297.jpg
12,0.073935,E:\Desktop from C\DataPrep\data to perp\images\ab6740d0-20230412_155612-1.mp4_snapshot_00.02.755.jpg
13,0.046181,E:\Desktop from C\DataPrep\data to perp\images\ab6740d0-20230412_155612-1.mp4_snapshot_00.02.755.jpg
14,0.011293,E:\Desktop from C\DataPrep\data to perp\images\ab6740d0-20230412_155612-1.mp4_snapshot_00.02.755.jpg
15,0.157332,E:\Desktop from C\DataPrep\data to perp\images\c2dbeb00-20230412_154229-2.mp4_snapshot_00.03.187.jpg
16,0.091714,E:\Desktop from C\DataPrep\data to perp\images\c2dbeb00-20230412_154229-2.mp4_snapshot_00.03.187.jpg
17,0.086289,E:\Desktop from C\DataPrep\data to perp\images\c2dbeb00-20230412_154229-2.mp4_snapshot_00.03.187.jpg
18,0.06198,E:\Desktop from C\DataPrep\data to perp\images\c2dbeb00-20230412_154229-2.mp4_snapshot_00.03.187.jpg
19,0.051164,E:\Desktop from C\DataPrep\data to perp\images\c2dbeb00-20230412_154229-2.mp4_snapshot_00.03.187.jpg
20,0.03593,E:\Desktop from C\DataPrep\data to perp\images\c2dbeb00-20230412_154229-2.mp4_snapshot_00.03.187.jpg
21,0.052082,E:\Desktop from C\DataPrep\data to perp\images\c2dbeb00-20230412_154229-2.mp4_snapshot_00.03.187.jpg
22,0.044398,E:\Desktop from C\DataPrep\data to perp\images\c2dbeb00-20230412_154229-2.mp4_snapshot_00.03.187.jpg
23,0.028777,E:\Desktop from C\DataPrep\data to perp\images\c2dbeb00-20230412_154229-2.mp4_snapshot_00.03.187.jpg
24,0.02591,E:\Desktop from C\DataPrep\data to perp\images\c2dbeb00-20230412_154229-2.mp4_snapshot_00.03.187.jpg
25,0.005928,E:\Desktop from C\DataPrep\data to perp\images\ccf919e6-20230412_153452-1.mp4_snapshot_00.18.332.jpg
26,0.000554,E:\Desktop from C\DataPrep\data to perp\images\ccf919e6-20230412_153452-1.mp4_snapshot_00.18.332.jpg
27,0.005301,E:\Desktop from C\DataPrep\data to perp\images\ccf919e6-20230412_153452-1.mp4_snapshot_00.18.332.jpg
28,0.051523,E:\Desktop from C\DataPrep\data to perp\images\cf437e31-20230412_153213-1.mp4_snapshot_00.02.465.jpg
29,0.069378,E:\Desktop from C\DataPrep\data to perp\images\cf437e31-20230412_153213-1.mp4_snapshot_00.02.465.jpg
30,0.031973,E:\Desktop from C\DataPrep\data to perp\images\cf437e31-20230412_153213-1.mp4_snapshot_00.02.465.jpg
31,0.034377,E:\Desktop from C\DataPrep\data to perp\images\cf437e31-20230412_153213-1.mp4_snapshot_00.02.465.jpg
32,0.036882,E:\Desktop from C\DataPrep\data to perp\images\cf437e31-20230412_153213-1.mp4_snapshot_00.02.465.jpg
33,0.012001,E:\Desktop from C\DataPrep\data to perp\images\cf437e31-20230412_153213-1.mp4_snapshot_00.02.465.jpg
34,0.004539,E:\Desktop from C\DataPrep\data to perp\images\cf437e31-20230412_153213-1.mp4_snapshot_00.02.465.jpg
35,0.009939,E:\Desktop from C\DataPrep\data to perp\images\cf437e31-20230412_153213-1.mp4_snapshot_00.02.465.jpg
36,0.005044,E:\Desktop from C\DataPrep\data to perp\images\cf437e31-20230412_153213-1.mp4_snapshot_00.02.465.jpg
37,0.022768,E:\Desktop from C\DataPrep\data to perp\images\cf437e31-20230412_153213-1.mp4_snapshot_00.02.465.jpg
38,0.020415,E:\Desktop from C\DataPrep\data to perp\images\cf437e31-20230412_153213-1.mp4_snapshot_00.02.465.jpg
